[2022/02/21 14:22:18] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='cifar_model', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/02/21 14:22:58] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/02/21 16:50:23] - 48 	 151.2 	 	 28.7 	 	 0.1000 	 0.8659 	 0.7599 	 1.4237 	 	 0.4570 	 	 0.8796 	 0.7407 	 1.4060 	 	 0.4730
[2022/02/21 16:53:23] - 49 	 151.4 	 	 28.7 	 	 0.1000 	 0.8617 	 0.7637 	 1.4222 	 	 0.4607 	 	 0.8638 	 0.7518 	 1.4287 	 	 0.4641
[2022/02/21 16:56:23] - 50 	 151.3 	 	 28.7 	 	 0.1000 	 0.8623 	 0.7626 	 1.4223 	 	 0.4570 	 	 0.8622 	 0.7311 	 1.4104 	 	 0.4754
[2022/02/21 16:59:23] - 51 	 151.3 	 	 28.7 	 	 0.1000 	 0.8604 	 0.7627 	 1.4211 	 	 0.4578 	 	 0.9265 	 0.7349 	 1.4484 	 	 0.4671
[2022/02/21 17:02:23] - 52 	 151.2 	 	 28.7 	 	 0.1000 	 0.8546 	 0.7690 	 1.4160 	 	 0.4626 	 	 0.8446 	 0.7263 	 1.4277 	 	 0.4638
[2022/02/21 17:05:23] - 53 	 151.3 	 	 28.7 	 	 0.1000 	 0.8559 	 0.7675 	 1.4179 	 	 0.4589 	 	 0.8832 	 0.7476 	 1.4198 	 	 0.4733
[2022/02/21 17:08:23] - 54 	 151.3 	 	 28.7 	 	 0.1000 	 0.8543 	 0.7693 	 1.4165 	 	 0.4609 	 	 0.8549 	 0.7264 	 1.4325 	 	 0.4610
[2022/02/21 17:11:23] - 55 	 151.2 	 	 28.7 	 	 0.1000 	 0.8520 	 0.7679 	 1.4154 	 	 0.4615 	 	 0.8501 	 0.7355 	 1.4261 	 	 0.4688
[2022/02/21 17:14:23] - 56 	 151.2 	 	 28.7 	 	 0.1000 	 0.8530 	 0.7683 	 1.4159 	 	 0.4600 	 	 0.9055 	 0.7309 	 1.4262 	 	 0.4787
[2022/02/21 17:17:23] - 57 	 151.3 	 	 28.7 	 	 0.1000 	 0.8504 	 0.7694 	 1.4138 	 	 0.4617 	 	 0.8750 	 0.7493 	 1.4166 	 	 0.4763
[2022/02/21 17:20:23] - 58 	 151.3 	 	 28.7 	 	 0.1000 	 0.8516 	 0.7697 	 1.4162 	 	 0.4603 	 	 0.8828 	 0.7309 	 1.4172 	 	 0.4716
[2022/02/21 17:23:23] - 59 	 151.2 	 	 28.7 	 	 0.1000 	 0.8477 	 0.7709 	 1.4100 	 	 0.4636 	 	 0.8919 	 0.7391 	 1.4451 	 	 0.4560
[2022/02/21 17:26:23] - 60 	 151.3 	 	 28.7 	 	 0.1000 	 0.8454 	 0.7707 	 1.4093 	 	 0.4643 	 	 0.8804 	 0.7276 	 1.4147 	 	 0.4676
[2022/02/21 17:29:23] - 61 	 151.3 	 	 28.7 	 	 0.1000 	 0.8472 	 0.7689 	 1.4113 	 	 0.4632 	 	 0.8868 	 0.7510 	 1.4252 	 	 0.4716
[2022/02/21 17:32:23] - 62 	 151.3 	 	 28.7 	 	 0.1000 	 0.8450 	 0.7716 	 1.4095 	 	 0.4620 	 	 0.8673 	 0.7396 	 1.4167 	 	 0.4690
[2022/02/21 17:35:23] - 63 	 151.3 	 	 28.7 	 	 0.1000 	 0.8459 	 0.7712 	 1.4114 	 	 0.4606 	 	 0.8968 	 0.7341 	 1.4290 	 	 0.4696
[2022/02/21 17:38:23] - 64 	 151.2 	 	 28.7 	 	 0.1000 	 0.8429 	 0.7740 	 1.4082 	 	 0.4622 	 	 0.8785 	 0.7314 	 1.4214 	 	 0.4736
[2022/02/21 17:41:23] - 65 	 151.2 	 	 28.7 	 	 0.1000 	 0.8415 	 0.7739 	 1.4074 	 	 0.4624 	 	 0.8997 	 0.7266 	 1.4193 	 	 0.4713
[2022/02/21 17:44:23] - 66 	 151.3 	 	 28.7 	 	 0.1000 	 0.8416 	 0.7735 	 1.4060 	 	 0.4619 	 	 0.8700 	 0.7444 	 1.4294 	 	 0.4659
[2022/02/21 17:47:23] - 67 	 151.3 	 	 28.7 	 	 0.1000 	 0.8381 	 0.7707 	 1.4026 	 	 0.4640 	 	 0.8466 	 0.7372 	 1.4775 	 	 0.4506
[2022/02/21 17:50:23] - 68 	 151.3 	 	 28.7 	 	 0.1000 	 0.8433 	 0.7710 	 1.4073 	 	 0.4629 	 	 0.8809 	 0.7460 	 1.4173 	 	 0.4730
[2022/02/21 17:53:23] - 69 	 151.3 	 	 28.7 	 	 0.1000 	 0.8366 	 0.7751 	 1.4035 	 	 0.4679 	 	 0.8562 	 0.7428 	 1.4274 	 	 0.4636
[2022/02/21 17:56:23] - 70 	 151.2 	 	 28.7 	 	 0.1000 	 0.8361 	 0.7744 	 1.4027 	 	 0.4670 	 	 0.8734 	 0.7370 	 1.4270 	 	 0.4637
